date,claude_score,claude_total_posts,claude_eligible_posts,fable_mention_rows,corpus_rows_total,claude_refusal_language_posts,claude_rows_total
2026-06-01,51,73,68,0,220,0,74
2026-06-02,48,86,83,1,231,1,81
2026-06-03,54,64,62,0,201,0,72
2026-06-04,53,70,64,1,204,1,64
2026-06-05,61,70,70,0,215,0,75
2026-06-06,60,59,57,2,193,1,59
2026-06-07,53,71,69,0,204,1,66
2026-06-08,53,68,67,4,189,1,71
2026-06-09,50,81,78,25,193,3,76
2026-06-10,47,84,79,56,201,7,85
2026-06-11,52,77,75,48,210,3,83
2026-06-12,49,63,62,28,201,1,59
2026-06-13,36,57,55,35,175,1,65
2026-06-14,56,65,64,23,183,0,61
2026-06-15,46,60,59,13,168,1,52
2026-06-16,38,53,53,8,183,0,67
2026-06-17,42,61,59,12,176,1,53
2026-06-18,41,48,46,3,178,0,53
2026-06-19,48,63,61,4,175,2,56
2026-06-20,51,76,71,24,232,1,81
2026-06-21,52,56,53,11,167,0,49
2026-06-22,53,59,58,10,190,0,62
2026-06-23,50,67,66,13,167,0,56
2026-06-24,55,85,80,32,207,0,84
2026-06-25,51,55,55,29,225,0,71
2026-06-26,53,48,46,17,162,1,47
2026-06-27,52,51,49,15,175,0,47
2026-06-28,52,87,81,27,212,0,82
2026-06-29,46,53,50,29,207,1,65
2026-06-30,46,106,98,12,182,1,88
2026-07-01,53,104,99,65,218,2,112
2026-07-02,57,69,66,32,150,3,67
2026-07-03,58,63,61,31,166,3,60
2026-07-04,65,79,73,40,167,2,79
2026-07-05,60,86,84,48,185,2,88
2026-07-06,61,106,102,34,196,3,103
2026-07-07,60,72,69,37,185,0,76
2026-07-08,46,84,84,36,194,3,72
2026-07-09,50,73,71,23,238,0,74
2026-07-10,55,161,154,55,454,5,140
2026-07-11,52,192,180,84,446,5,183
2026-07-12,47,191,171,90,431,3,188
2026-07-13,50,166,148,61,440,1,182
2026-07-14,50,177,164,65,401,5,183
2026-07-15,52,173,161,63,399,6,177
2026-07-16,47,166,153,63,401,4,161
