date,model,score,total_posts,eligible_posts,grok_share_of_chatter_pct,grok45_mention_posts
2026-06-01,claude,51,73,68,,
2026-06-01,chatgpt,35,84,79,,
2026-06-01,gemini,27,39,36,,
2026-06-01,grok,29,30,29,11.4,0
2026-06-02,claude,48,86,83,,
2026-06-02,chatgpt,29,94,88,,
2026-06-02,gemini,28,35,34,,
2026-06-02,grok,39,24,21,11.3,0
2026-06-03,claude,54,64,62,,
2026-06-03,chatgpt,28,73,64,,
2026-06-03,gemini,41,35,33,,
2026-06-03,grok,57,13,13,7.0,0
2026-06-04,claude,53,70,64,,
2026-06-04,chatgpt,34,89,85,,
2026-06-04,gemini,35,39,37,,
2026-06-04,grok,23,17,16,9.8,0
2026-06-05,claude,61,70,70,,
2026-06-05,chatgpt,35,68,65,,
2026-06-05,gemini,31,45,40,,
2026-06-05,grok,27,16,13,6.0,0
2026-06-06,claude,60,59,57,,
2026-06-06,chatgpt,34,78,69,,
2026-06-06,gemini,36,46,43,,
2026-06-06,grok,26,37,31,14.5,0
2026-06-07,claude,53,71,69,,
2026-06-07,chatgpt,35,73,70,,
2026-06-07,gemini,35,35,34,,
2026-06-07,grok,34,13,11,12.7,0
2026-06-08,claude,53,68,67,,
2026-06-08,chatgpt,32,76,74,,
2026-06-08,gemini,29,29,28,,
2026-06-08,grok,45,14,10,5.3,0
2026-06-09,claude,50,81,78,,
2026-06-09,chatgpt,26,75,68,,
2026-06-09,gemini,35,34,32,,
2026-06-09,grok,48,5,5,5.2,0
2026-06-10,claude,47,84,79,,
2026-06-10,chatgpt,25,69,64,,
2026-06-10,gemini,24,42,37,,
2026-06-10,grok,31,14,13,5.5,0
2026-06-11,claude,52,77,75,,
2026-06-11,chatgpt,29,74,71,,
2026-06-11,gemini,44,31,31,,
2026-06-11,grok,18,30,21,6.7,0
2026-06-12,claude,49,63,62,,
2026-06-12,chatgpt,23,78,77,,
2026-06-12,gemini,27,36,36,,
2026-06-12,grok,17,18,13,18.9,0
2026-06-13,claude,36,57,55,,
2026-06-13,chatgpt,27,57,57,,
2026-06-13,gemini,36,35,35,,
2026-06-13,grok,26,15,15,6.3,0
2026-06-14,claude,56,65,64,,
2026-06-14,chatgpt,31,69,68,,
2026-06-14,gemini,65,33,33,,
2026-06-14,grok,28,13,12,9.3,0
2026-06-15,claude,46,60,59,,
2026-06-15,chatgpt,34,67,64,,
2026-06-15,gemini,45,36,35,,
2026-06-15,grok,22,16,15,7.7,0
2026-06-16,claude,38,53,53,,
2026-06-16,chatgpt,33,58,57,,
2026-06-16,gemini,46,36,35,,
2026-06-16,grok,33,19,17,10.4,0
2026-06-17,claude,42,61,59,,
2026-06-17,chatgpt,28,74,67,,
2026-06-17,gemini,51,39,38,,
2026-06-17,grok,30,22,22,11.4,0
2026-06-18,claude,41,48,46,,
2026-06-18,chatgpt,36,79,77,,
2026-06-18,gemini,42,27,26,,
2026-06-18,grok,28,14,14,10.1,0
2026-06-19,claude,48,63,61,,
2026-06-19,chatgpt,27,61,56,,
2026-06-19,gemini,50,41,40,,
2026-06-19,grok,45,23,13,8.6,0
2026-06-20,claude,51,76,71,,
2026-06-20,chatgpt,20,87,83,,
2026-06-20,gemini,38,49,48,,
2026-06-20,grok,29,17,16,9.1,0
2026-06-21,claude,52,56,53,,
2026-06-21,chatgpt,35,78,73,,
2026-06-21,gemini,41,36,33,,
2026-06-21,grok,26,13,13,7.8,0
2026-06-22,claude,53,59,58,,
2026-06-22,chatgpt,37,70,68,,
2026-06-22,gemini,33,31,30,,
2026-06-22,grok,19,15,12,9.5,0
2026-06-23,claude,50,67,66,,
2026-06-23,chatgpt,36,74,66,,
2026-06-23,gemini,31,35,34,,
2026-06-23,grok,26,8,7,5.4,0
2026-06-24,claude,55,85,80,,
2026-06-24,chatgpt,35,92,89,,
2026-06-24,gemini,31,39,38,,
2026-06-24,grok,25,16,14,4.8,0
2026-06-25,claude,51,55,55,,
2026-06-25,chatgpt,32,73,71,,
2026-06-25,gemini,44,46,44,,
2026-06-25,grok,28,12,9,7.1,0
2026-06-26,claude,53,48,46,,
2026-06-26,chatgpt,44,77,75,,
2026-06-26,gemini,52,37,34,,
2026-06-26,grok,19,7,7,6.2,0
2026-06-27,claude,52,51,49,,
2026-06-27,chatgpt,40,73,68,,
2026-06-27,gemini,37,41,40,,
2026-06-27,grok,15,5,5,2.3,0
2026-06-28,claude,52,87,81,,
2026-06-28,chatgpt,41,86,84,,
2026-06-28,gemini,49,39,38,,
2026-06-28,grok,35,17,16,6.1,1
2026-06-29,claude,46,53,50,,
2026-06-29,chatgpt,42,69,65,,
2026-06-29,gemini,42,43,43,,
2026-06-29,grok,18,19,18,9.7,1
2026-06-30,claude,46,106,98,,
2026-06-30,chatgpt,34,56,50,,
2026-06-30,gemini,38,21,21,,
2026-06-30,grok,28,4,4,3.8,1
2026-07-01,claude,53,104,99,,
2026-07-01,chatgpt,28,61,60,,
2026-07-01,gemini,33,36,33,,
2026-07-01,grok,49,15,11,6.0,1
2026-07-02,claude,57,69,66,,
2026-07-02,chatgpt,43,58,55,,
