date,chatgpt_score,chatgpt_eligible_posts,gpt56_sol_luna_mentions_positive,gpt56_sol_luna_mentions_negative,gpt6_sol_luna_mentions_positive,gpt6_sol_luna_mentions_negative
2026-07-01,28,60,0,1,0,1
2026-07-02,43,55,0,0,0,0
2026-07-03,30,60,0,0,0,0
2026-07-04,27,50,1,0,0,0
2026-07-05,28,63,0,0,0,0
2026-07-06,39,54,1,0,0,0
2026-07-07,31,63,1,0,0,0
2026-07-08,39,70,3,1,0,0
2026-07-09,52,93,6,4,0,0
2026-07-10,57,160,22,11,0,0
2026-07-11,46,133,12,17,1,0
2026-09-14,57,127,0,1,2,0
2026-09-15,61,124,1,3,2,2
2026-09-16,60,136,2,5,1,2
2026-09-17,54,106,0,2,1,1
2026-09-18,59,123,1,2,1,2
2026-09-19,53,119,1,1,0,0
2026-09-20,64,131,2,1,2,1
2026-09-21,60,120,1,4,1,0
2026-09-22,53,116,1,4,6,5
2026-09-23,47,84,1,4,4,6
