date,claude_score,claude_eligible_posts,opus5_mentions_positive,opus5_mentions_negative,opus55_mentions_positive,opus55_mentions_negative,fable51_mentions_positive,fable51_mentions_negative,opus51_mentions_all
2026-07-13,50,148,3,12,0,0,0,0,0
2026-07-14,50,164,15,17,0,0,0,1,0
2026-07-15,53,175,7,17,0,0,1,0,0
2026-07-16,49,167,5,12,0,1,0,1,0
2026-07-17,42,142,2,16,0,0,0,0,0
2026-07-18,46,159,7,13,0,0,2,0,0
2026-07-19,50,155,5,11,0,0,4,0,0
2026-07-20,51,146,6,14,0,0,0,1,0
2026-07-21,59,157,2,7,0,0,0,1,0
2026-07-22,58,139,3,4,0,0,0,0,0
2026-07-23,61,156,17,15,0,0,0,0,0
2026-07-24,59,228,56,42,0,0,2,3,2
2026-07-25,60,228,76,33,0,0,0,0,0
2026-07-26,59,206,54,26,0,0,1,1,0
2026-07-27,51,232,54,59,0,0,1,0,0
2026-07-28,49,324,72,78,0,0,0,0,0
2026-07-29,46,315,55,92,0,0,0,0,0
2026-07-30,45,284,54,64,0,0,0,0,0
2026-07-31,44,244,43,54,0,0,0,0,0
2026-08-01,50,177,43,26,0,0,0,0,0
2026-08-02,49,214,41,51,0,0,0,2,0
2026-08-03,49,233,51,49,0,0,0,1,0
2026-08-04,50,146,18,39,0,0,0,1,0
2026-08-05,49,130,5,12,0,0,0,0,0
2026-08-06,46,107,12,7,0,0,0,0,0
2026-08-07,46,144,11,18,0,0,0,0,0
2026-08-08,53,122,13,11,0,0,0,0,0
2026-08-09,51,92,11,12,0,0,0,0,0
2026-08-10,46,98,7,11,0,0,0,0,0
2026-08-11,48,114,5,25,0,0,0,1,0
2026-08-12,52,107,10,8,0,0,1,0,0
2026-08-13,49,126,7,9,0,0,0,0,0
2026-08-14,35,124,4,22,0,0,0,0,0
2026-08-15,44,101,5,16,0,0,0,0,0
2026-08-16,43,115,9,18,0,0,0,0,0
2026-08-17,44,129,6,18,0,0,0,0,0
2026-08-18,52,141,7,13,0,0,0,0,0
2026-08-19,37,131,13,39,0,0,0,0,0
2026-08-20,34,188,18,54,0,0,1,2,1
2026-08-21,33,182,28,54,0,0,0,0,0
2026-08-22,40,198,30,52,0,0,0,0,0
2026-08-23,38,113,14,29,0,0,0,0,1
2026-08-24,35,73,4,22,0,0,0,1,0
2026-08-25,35,100,6,19,0,0,0,0,0
2026-08-26,32,101,5,21,0,0,0,0,0
2026-08-27,39,104,4,16,0,0,0,0,0
2026-08-28,40,103,5,20,0,0,0,0,0
2026-08-29,38,100,8,21,0,0,0,0,0
2026-08-30,37,82,8,12,0,0,0,0,0
2026-08-31,37,105,7,10,0,0,0,0,1
2026-09-01,41,209,6,20,0,0,41,31,0
2026-09-02,46,182,17,17,0,0,21,10,1
2026-09-03,49,136,7,11,0,0,15,16,0
2026-09-04,40,169,8,16,0,0,21,22,0
2026-09-05,41,119,2,8,0,0,11,9,0
2026-09-06,47,136,8,8,0,0,16,14,1
2026-09-07,46,155,6,9,0,0,15,15,0
2026-09-08,43,176,10,23,0,0,11,9,0
2026-09-09,37,150,5,14,0,0,13,17,0
2026-09-10,43,137,7,11,0,0,12,11,2
2026-09-11,47,141,7,12,0,0,8,11,0
2026-09-12,46,156,7,24,0,0,10,5,0
2026-09-13,47,147,6,16,0,0,5,12,2
2026-09-14,47,184,8,29,0,0,8,10,1
2026-09-15,43,140,11,13,0,0,4,2,1
2026-09-16,37,161,5,23,0,0,5,9,2
2026-09-17,43,142,6,13,0,0,4,5,2
2026-09-18,40,141,10,15,0,0,3,3,1
2026-09-19,30,116,5,11,0,0,7,7,1
2026-09-20,31,153,10,26,1,1,7,6,3
2026-09-21,43,137,8,12,1,1,4,7,0
2026-09-22,55,170,16,7,42,10,14,0,1
2026-09-23,61,164,18,12,49,13,17,7,0
